MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in cerebellum,regulates a function/process that happens in granule cell		IGI	MGI:95813 	J:63483 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in dentate gyrus		IGI	MGI:95824 	J:61471 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process			IMP		J:235305 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in dorsal root ganglion|happens in trigeminal ganglion|happens in vestibulo-cochlear ganglion|happens in hippocampus CA2|happens in hippocampus CA3		IMP	MGI:1857429 	J:45764 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in pons,regulates a function/process that happens in neuron		IMP	MGI:1857429 	J:101073 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in optic nerve,regulates a function/process that happens in neuron|happens in retina inner nuclear layer,regulates a function/process that happens in neuron|happens in retina ganglion cell layer,regulates a function/process that happens in retinal ganglion cell		IMP	MGI:1857429 	J:49526 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in spinal cord,regulates a function/process that happens in motor neuron		IMP	MGI:1857429 	J:98923 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in superior cervical ganglion,regulates a function/process that happens in neuron		IMP	MGI:1857429 	J:115320 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in dentate gyrus,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:1857429 	J:96804 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in facial nucleus		IMP	MGI:1857429 	J:35372 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in main olfactory bulb granule cell layer,regulates a function/process that happens in neuron		IMP	MGI:1857429 	J:116534 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in retina ganglion cell layer,regulates a function/process that happens in retinal ganglion cell		IMP	MGI:1857429 	J:100118 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	regulates a function/process that happens in trigeminal ganglion|regulates a function/process that happens in inferior vagus ganglion		IMP	MGI:1857429 	J:63350 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	regulates a function/process that happens in sensory neuron|regulates a function/process that happens in motor neuron		IMP	MGI:1857429 	J:117220 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in telencephalon,regulates a function/process that happens in neuron		IMP	MGI:2158306 	J:66953 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process	happens in parietal cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP	MGI:2158306 	J:115656 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of neuron apoptotic process			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of release of cytochrome c from mitochondria			ISO	Q07812 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		activation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN002008808 	J:265628 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q9BXH1 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISS	Q9BXH1 	J:76185 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of apoptotic process			IBA	PTN002008808 	J:265628 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of apoptotic process	regulates a function/process that happens in fibroblast|regulates a function/process that happens in lymphocyte		IMP	MGI:2681654 	J:86466 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of apoptotic process	regulates a function/process that happens in T cell		IMP	MGI:2681654 	J:111822 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN002008808 	J:265628 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	RGD:631434 	J:155856 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q9BXH1 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of neuron apoptotic process			IMP		J:167725 J:190239 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway			IBA	PTN002008808 	J:265628 	
